ids,label,COIPLUS Description,LCF CODE,Description,Divisional Code,Divisional Description,documents
118,1.1.4.7.1,Eggs,1.1.4.7.1,            Eggs,1,Food and non-alcoholic beverages,"Eggs,             Eggs, Food and non-alcoholic beverages"
119,1.1.5.1.1,Butter,1.1.5.1.1,"            Butter - all types (except low fat varieties),from all countries",1,Food and non-alcoholic beverages,"Butter,             Butter - all types (except low fat varieties),from all countries, Food and non-alcoholic beverages"
120,1.1.5.2.1,Margarine and other vegetable fats,1.1.5.2.1,            Soft margarine,1,Food and non-alcoholic beverages,"Margarine and other vegetable fats,             Soft margarine, Food and non-alcoholic beverages"
121,1.1.5.2.1,Margarine and other vegetable fats,1.1.5.2.2,            Other margarine ,1,Food and non-alcoholic beverages,"Margarine and other vegetable fats,             Other margarine , Food and non-alcoholic beverages"
122,1.1.5.2.1,Margarine and other vegetable fats,1.1.5.2.3,            Reduced fat spreads,1,Food and non-alcoholic beverages,"Margarine and other vegetable fats,             Reduced fat spreads, Food and non-alcoholic beverages"
123,1.1.5.2.1,Margarine and other vegetable fats,1.1.5.2.4,            Low fat spreads,1,Food and non-alcoholic beverages,"Margarine and other vegetable fats,             Low fat spreads, Food and non-alcoholic beverages"
124,1.1.5.3.1,Olive oil,1.1.5.3.1,            Olive Oil,1,Food and non-alcoholic beverages,"Olive oil,             Olive Oil, Food and non-alcoholic beverages"
125,1.1.5.4.1,Edible oils,1.1.5.4.1,"            Other vegetable and salad oils eg corn, soya, sunflower etc oil",1,Food and non-alcoholic beverages,"Edible oils,             Other vegetable and salad oils eg corn, soya, sunflower etc oil, Food and non-alcoholic beverages"
126,1.1.5.5.1,Other edible animal fats,1.1.5.5.1,"            Lard, cooking fat ",1,Food and non-alcoholic beverages,"Other edible animal fats,             Lard, cooking fat , Food and non-alcoholic beverages"
127,1.1.5.5.1,Other edible animal fats,1.1.5.5.2,            Suet & dripping,1,Food and non-alcoholic beverages,"Other edible animal fats,             Suet & dripping, Food and non-alcoholic beverages"
128,1.1.6.1.1,Citrus fruits - fresh,1.1.6.1.1,            Fresh Oranges,1,Food and non-alcoholic beverages,"Citrus fruits - fresh,             Fresh Oranges, Food and non-alcoholic beverages"
129,1.1.6.1.1,Citrus fruits - fresh,1.1.6.1.2,"            Other fresh citrus fruits eg lemons, grapefruit, tangerines, clementines, etc",1,Food and non-alcoholic beverages,"Citrus fruits - fresh,             Other fresh citrus fruits eg lemons, grapefruit, tangerines, clementines, etc, Food and non-alcoholic beverages"
130,1.1.6.2.1,Bananas - fresh,1.1.6.2.1,            Fresh Bananas,1,Food and non-alcoholic beverages,"Bananas - fresh,             Fresh Bananas, Food and non-alcoholic beverages"
131,1.1.6.3.1,Apples - fresh,1.1.6.3.1,            Fresh Apples,1,Food and non-alcoholic beverages,"Apples - fresh,             Fresh Apples, Food and non-alcoholic beverages"
132,1.1.6.4.1,Pears - fresh,1.1.6.3.2,            Fresh Pears,1,Food and non-alcoholic beverages,"Pears - fresh,             Fresh Pears, Food and non-alcoholic beverages"
133,1.1.6.5.1,Stone fruits - fresh,1.1.6.3.3,"            Fresh Stone fruit eg apricot, plum, peach, cherry, avocado, nectarine, olives",1,Food and non-alcoholic beverages,"Stone fruits - fresh,             Fresh Stone fruit eg apricot, plum, peach, cherry, avocado, nectarine, olives, Food and non-alcoholic beverages"
134,1.1.6.6.1,Berries - fresh,1.1.6.4.1,            Fresh Grapes,1,Food and non-alcoholic beverages,"Berries - fresh,             Fresh Grapes, Food and non-alcoholic beverages"
135,1.1.6.6.1,Berries - fresh,1.1.6.4.2,"            Other fresh soft fruit eg strawberries, blackberries, blackcurrants, cranberries",1,Food and non-alcoholic beverages,"Berries - fresh,             Other fresh soft fruit eg strawberries, blackberries, blackcurrants, cranberries, Food and non-alcoholic beverages"
136,1.1.6.7.1,"Other fresh, chilled or frozen fruits",1.1.6.5.1,            Fresh Melon,1,Food and non-alcoholic beverages,"Other fresh, chilled or frozen fruits,             Fresh Melon, Food and non-alcoholic beverages"
137,1.1.6.7.1,"Other fresh, chilled or frozen fruits",1.1.6.5.2,"            Other fresh fruit eg pineapple, pomegranate, figs, kiwi fruit, rhubarb, 'fruit' - type not spec",1,Food and non-alcoholic beverages,"Other fresh, chilled or frozen fruits,             Other fresh fruit eg pineapple, pomegranate, figs, kiwi fruit, rhubarb, 'fruit' - type not spec, Food and non-alcoholic beverages"
138,1.1.6.7.1,"Other fresh, chilled or frozen fruits",1.1.6.6.1,"            Frozen fruits eg strawberries, apple slices, peach halves",1,Food and non-alcoholic beverages,"Other fresh, chilled or frozen fruits,             Frozen fruits eg strawberries, apple slices, peach halves, Food and non-alcoholic beverages"
139,1.1.6.8.1,Dried fruit and nuts,1.1.6.7.1,"            Dried fruit eg sultanas, raisins, currants, dates, apricots",1,Food and non-alcoholic beverages,"Dried fruit and nuts,             Dried fruit eg sultanas, raisins, currants, dates, apricots, Food and non-alcoholic beverages"
140,1.1.6.8.1,Dried fruit and nuts,1.1.6.7.2,"            Nuts, edible seeds & nut products eg peanuts, coconut, sunflower seeds, chestnut puree",1,Food and non-alcoholic beverages,"Dried fruit and nuts,             Nuts, edible seeds & nut products eg peanuts, coconut, sunflower seeds, chestnut puree, Food and non-alcoholic beverages"
141,1.1.5.2.1,Margarine and other vegetable fats,1.1.6.7.3,            Peanut butter,1,Food and non-alcoholic beverages,"Margarine and other vegetable fats,             Peanut butter, Food and non-alcoholic beverages"
142,1.1.6.9.1,Preserved fruit and fruit-based products,1.1.6.8.1,"            Tinned peaches, pears & pineapples only",1,Food and non-alcoholic beverages,"Preserved fruit and fruit-based products,             Tinned peaches, pears & pineapples only, Food and non-alcoholic beverages"
143,1.1.6.9.1,Preserved fruit and fruit-based products,1.1.6.8.2,"            Other tinned or bottled fruit eg apricots, cherries, mandarin oranges, olives",1,Food and non-alcoholic beverages,"Preserved fruit and fruit-based products,             Other tinned or bottled fruit eg apricots, cherries, mandarin oranges, olives, Food and non-alcoholic beverages"
144,1.1.7.1.1,Leaf and stem vegetables (fresh or chilled),1.1.7.1.1,            Lettuce incl watercress (NOT prepared salads),1,Food and non-alcoholic beverages,"Leaf and stem vegetables (fresh or chilled),             Lettuce incl watercress (NOT prepared salads), Food and non-alcoholic beverages"
145,1.1.7.1.1,Leaf and stem vegetables (fresh or chilled),1.1.7.1.2,"            Other fresh green vegetables eg spinach, turnip tops, sprouting broccoli",1,Food and non-alcoholic beverages,"Leaf and stem vegetables (fresh or chilled),             Other fresh green vegetables eg spinach, turnip tops, sprouting broccoli, Food and non-alcoholic beverages"
146,1.1.7.1.1,Leaf and stem vegetables (fresh or chilled),1.1.7.1.3,"            Stem vegetables eg celery, artichokes, asparagus, bean sprouts",1,Food and non-alcoholic beverages,"Leaf and stem vegetables (fresh or chilled),             Stem vegetables eg celery, artichokes, asparagus, bean sprouts, Food and non-alcoholic beverages"
147,1.1.7.1.1,Leaf and stem vegetables (fresh or chilled),1.1.7.1.4,"            Prepared lettuce salads, eg in bags mixed salad (NEW CODE)",1,Food and non-alcoholic beverages,"Leaf and stem vegetables (fresh or chilled),             Prepared lettuce salads, eg in bags mixed salad (NEW CODE), Food and non-alcoholic beverages"
148,1.1.7.2.1,Cabbages (fresh or chilled),1.1.7.2.1,"            Cabbages, fresh",1,Food and non-alcoholic beverages,"Cabbages (fresh or chilled),             Cabbages, fresh, Food and non-alcoholic beverages"
149,1.1.7.2.2,"Brussels sprouts, fresh",1.1.7.2.2,"            Brussel sprouts, fresh",1,Food and non-alcoholic beverages,"Brussels sprouts, fresh,             Brussel sprouts, fresh, Food and non-alcoholic beverages"
150,1.1.7.2.3,"Cauliflower, fresh",1.1.7.2.3,"            Cauliflower, fresh incl headed broccoli eg Calabrese",1,Food and non-alcoholic beverages,"Cauliflower, fresh,             Cauliflower, fresh incl headed broccoli eg Calabrese, Food and non-alcoholic beverages"
151,1.1.7.3.1,"Vegetable grown for their fruit (fresh, chilled or frozen)",1.1.7.3.1,"            Cucumbers, fresh",1,Food and non-alcoholic beverages,"Vegetable grown for their fruit (fresh, chilled or frozen),             Cucumbers, fresh, Food and non-alcoholic beverages"
152,1.1.7.3.1,"Vegetable grown for their fruit (fresh, chilled or frozen)",1.1.7.3.2,"            Marrow, courgettes, aubergine, pumpkin, plantain etc",1,Food and non-alcoholic beverages,"Vegetable grown for their fruit (fresh, chilled or frozen),             Marrow, courgettes, aubergine, pumpkin, plantain etc, Food and non-alcoholic beverages"
153,1.1.7.3.1,"Vegetable grown for their fruit (fresh, chilled or frozen)",1.1.7.3.3,"            Peas, fresh incl mangetout, sugar snap peas",1,Food and non-alcoholic beverages,"Vegetable grown for their fruit (fresh, chilled or frozen),             Peas, fresh incl mangetout, sugar snap peas, Food and non-alcoholic beverages"
154,1.1.7.3.1,"Vegetable grown for their fruit (fresh, chilled or frozen)",1.1.7.3.4,"            Beans, fresh incl runner, broad, french",1,Food and non-alcoholic beverages,"Vegetable grown for their fruit (fresh, chilled or frozen),             Beans, fresh incl runner, broad, french, Food and non-alcoholic beverages"
155,1.1.7.3.1,"Vegetable grown for their fruit (fresh, chilled or frozen)",1.1.7.3.5,"            Tomatoes, fresh",1,Food and non-alcoholic beverages,"Vegetable grown for their fruit (fresh, chilled or frozen),             Tomatoes, fresh, Food and non-alcoholic beverages"
156,1.1.7.7.1,Potatoes,1.1.7.4.1,            All other potatoes - not new or baking - bought at any time of year ,1,Food and non-alcoholic beverages,"Potatoes,             All other potatoes - not new or baking - bought at any time of year , Food and non-alcoholic beverages"
157,1.1.7.7.1,Potatoes,1.1.7.4.2,            New Potatoes - bought any time of year,1,Food and non-alcoholic beverages,"Potatoes,             New Potatoes - bought any time of year, Food and non-alcoholic beverages"
158,1.1.7.7.1,Potatoes,1.1.7.4.3,            Code not used,1,Food and non-alcoholic beverages,"Potatoes,             Code not used, Food and non-alcoholic beverages"
159,1.1.7.7.1,Potatoes,1.1.7.4.4,            Baking Potatoes,1,Food and non-alcoholic beverages,"Potatoes,             Baking Potatoes, Food and non-alcoholic beverages"
160,1.1.7.4.1,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.1.7.5.1,"            Carrots, fresh",1,Food and non-alcoholic beverages,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen),             Carrots, fresh, Food and non-alcoholic beverages"
161,1.1.7.4.1,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.1.7.5.2,"            Turnips & swede, fresh",1,Food and non-alcoholic beverages,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen),             Turnips & swede, fresh, Food and non-alcoholic beverages"
162,1.1.7.4.1,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.1.7.5.3,"            Onions, leeks, shallots etc, fresh",1,Food and non-alcoholic beverages,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen),             Onions, leeks, shallots etc, fresh, Food and non-alcoholic beverages"
163,1.1.7.4.1,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.1.7.5.4,"            Other root veg, fresh eg beetroot, parsnips, jerusalem artichokes, parsnips, yams, radishes",1,Food and non-alcoholic beverages,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen),             Other root veg, fresh eg beetroot, parsnips, jerusalem artichokes, parsnips, yams, radishes, Food and non-alcoholic beverages"
164,1.1.7.4.1,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.1.7.5.5,            Mushrooms - fresh,1,Food and non-alcoholic beverages,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen),             Mushrooms - fresh, Food and non-alcoholic beverages"
165,1.1.7.4.1,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.1.7.5.6,"            Stir-fry pack, pack of mixed veg, stewpack, fresh veg - type not specified",1,Food and non-alcoholic beverages,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen),             Stir-fry pack, pack of mixed veg, stewpack, fresh veg - type not specified, Food and non-alcoholic beverages"
166,1.1.7.3.1,"Vegetable grown for their fruit (fresh, chilled or frozen)",1.1.7.6.1,"            Peas, frozen",1,Food and non-alcoholic beverages,"Vegetable grown for their fruit (fresh, chilled or frozen),             Peas, frozen, Food and non-alcoholic beverages"
167,1.1.7.3.1,"Vegetable grown for their fruit (fresh, chilled or frozen)",1.1.7.6.2,"            Beans, frozen",1,Food and non-alcoholic beverages,"Vegetable grown for their fruit (fresh, chilled or frozen),             Beans, frozen, Food and non-alcoholic beverages"
168,1.1.7.4.1,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.1.7.6.3,"            All other frozen veg eg mixed veg, sweetcorn, courgettes, carrots",1,Food and non-alcoholic beverages,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen),             All other frozen veg eg mixed veg, sweetcorn, courgettes, carrots, Food and non-alcoholic beverages"
169,1.1.7.5.1,Dried vegetables,1.1.7.7.1,            Air-dried vegetables,1,Food and non-alcoholic beverages,"Dried vegetables,             Air-dried vegetables, Food and non-alcoholic beverages"
170,1.1.7.5.1,Dried vegetables,1.1.7.7.2,"            Dried pulses eg peas, chick peas, beans, lentils",1,Food and non-alcoholic beverages,"Dried vegetables,             Dried pulses eg peas, chick peas, beans, lentils, Food and non-alcoholic beverages"
171,1.1.7.6.1,Other preserved or processed vegetables,1.1.7.8.1,"            Tomatoes, canned or bottled",1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Tomatoes, canned or bottled, Food and non-alcoholic beverages"
172,1.1.7.6.1,Other preserved or processed vegetables,1.1.7.8.2,"            Peas, canned",1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Peas, canned, Food and non-alcoholic beverages"
173,1.1.7.6.1,Other preserved or processed vegetables,1.1.7.8.3,            Baked beans in sauce,1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Baked beans in sauce, Food and non-alcoholic beverages"
174,1.1.7.6.1,Other preserved or processed vegetables,1.1.7.8.4,"            Other canned beans & pulses eg butter beans, broad beans, kidney beans",1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Other canned beans & pulses eg butter beans, broad beans, kidney beans, Food and non-alcoholic beverages"
175,1.1.7.6.1,Other preserved or processed vegetables,1.1.7.8.5,            Canned potatoes,1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Canned potatoes, Food and non-alcoholic beverages"
176,1.1.7.6.1,Other preserved or processed vegetables,1.1.7.8.6,"            Other canned or bottled veg eg carrots, runner beans, sweetcorn, mushrooms",1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Other canned or bottled veg eg carrots, runner beans, sweetcorn, mushrooms, Food and non-alcoholic beverages"
177,1.1.7.6.1,Other preserved or processed vegetables,1.1.7.8.7,            Tomato puree and vegetable purees,1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Tomato puree and vegetable purees, Food and non-alcoholic beverages"
178,1.1.7.8.1,Other tubers and products of tuber vegetables,1.1.7.9.1,            Instant potato,1,Food and non-alcoholic beverages,"Other tubers and products of tuber vegetables,             Instant potato, Food and non-alcoholic beverages"
179,1.1.7.8.1,Other tubers and products of tuber vegetables,1.1.7.9.2,            Chips - frozen/not frozen eg oven chips,1,Food and non-alcoholic beverages,"Other tubers and products of tuber vegetables,             Chips - frozen/not frozen eg oven chips, Food and non-alcoholic beverages"
180,1.1.7.8.1,Other tubers and products of tuber vegetables,1.1.7.9.3,"            Other potato products - frozen/not frozen eg potato cakes, potato scones, potato salad, hash browns, croquettes",1,Food and non-alcoholic beverages,"Other tubers and products of tuber vegetables,             Other potato products - frozen/not frozen eg potato cakes, potato scones, potato salad, hash browns, croquettes, Food and non-alcoholic beverages"
181,1.1.7.9.9,"Other vegetables, pulses and tubers preserved or processed",1.1.7.10.1,"            Veg ready meal/other veg product - eg veg curry, veg lasagne, pasta filled with veg, veg pastie, pease pudding, coleslaw ",1,Food and non-alcoholic beverages,"Other vegetables, pulses and tubers preserved or processed,             Veg ready meal/other veg product - eg veg curry, veg lasagne, pasta filled with veg, veg pastie, pease pudding, coleslaw , Food and non-alcoholic beverages"
182,1.1.8.1.1,Sugar,1.1.8.1.1,            Sugar incl glucose,1,Food and non-alcoholic beverages,"Sugar,             Sugar incl glucose, Food and non-alcoholic beverages"
183,1.1.8.1.1,Sugar,1.1.8.1.2,            Artificial sweeteners,1,Food and non-alcoholic beverages,"Sugar,             Artificial sweeteners, Food and non-alcoholic beverages"
184,1.1.8.2.1,"Jams, marmalades",1.1.8.2.1,            Jams & fruit curds eg lemon curd,1,Food and non-alcoholic beverages,"Jams, marmalades,             Jams & fruit curds eg lemon curd, Food and non-alcoholic beverages"
185,1.1.8.2.1,"Jams, marmalades",1.1.8.2.2,            Marmalade incl jelly marmalade,1,Food and non-alcoholic beverages,"Jams, marmalades,             Marmalade incl jelly marmalade, Food and non-alcoholic beverages"
186,1.1.8.2.1,"Jams, marmalades",1.1.8.2.3,            Jelly squares or crystals,1,Food and non-alcoholic beverages,"Jams, marmalades,             Jelly squares or crystals, Food and non-alcoholic beverages"
187,1.1.8.2.1,"Jams, marmalades",1.1.8.2.4,            Honey incl honey spreads,1,Food and non-alcoholic beverages,"Jams, marmalades,             Honey incl honey spreads, Food and non-alcoholic beverages"
188,1.1.8.6.1,Other sugar products,1.1.8.3.1,"            Syrup, treacle",1,Food and non-alcoholic beverages,"Other sugar products,             Syrup, treacle, Food and non-alcoholic beverages"
189,1.1.8.6.1,Other sugar products,1.1.8.3.2,"            Other spreads & dressings eg choc spread, choc sauce, rum butter, instant icing",1,Food and non-alcoholic beverages,"Other sugar products,             Other spreads & dressings eg choc spread, choc sauce, rum butter, instant icing, Food and non-alcoholic beverages"
190,1.1.8.3.1,Chocolate,1.1.8.4.1,            Chocolate bars - SOLID ,1,Food and non-alcoholic beverages,"Chocolate,             Chocolate bars - SOLID , Food and non-alcoholic beverages"
191,1.1.8.3.1,Chocolate,1.1.8.4.2,            Chocolate bars/ choc sweets - COATED & FILLED,1,Food and non-alcoholic beverages,"Chocolate,             Chocolate bars/ choc sweets - COATED & FILLED, Food and non-alcoholic beverages"
192,1.1.8.4.1,Confectionery products,1.1.8.5.1,            Chewing gum,1,Food and non-alcoholic beverages,"Confectionery products,             Chewing gum, Food and non-alcoholic beverages"
193,1.1.8.4.1,Confectionery products,1.1.8.5.2,            Mints ,1,Food and non-alcoholic beverages,"Confectionery products,             Mints , Food and non-alcoholic beverages"
194,1.1.8.4.1,Confectionery products,1.1.8.5.3,            Boiled sweets & jellies,1,Food and non-alcoholic beverages,"Confectionery products,             Boiled sweets & jellies, Food and non-alcoholic beverages"
195,1.1.8.4.1,Confectionery products,1.1.8.5.4,"            Fudges, toffees, caramels",1,Food and non-alcoholic beverages,"Confectionery products,             Fudges, toffees, caramels, Food and non-alcoholic beverages"
196,1.1.7.8.1,Other tubers and products of tuber vegetables,1.1.8.6.1,            Crisps & potato snacks,1,Food and non-alcoholic beverages,"Other tubers and products of tuber vegetables,             Crisps & potato snacks, Food and non-alcoholic beverages"
197,1.1.1.5.1,Other breads and cereals,1.1.8.6.2,            Cereal snacks,1,Food and non-alcoholic beverages,"Other breads and cereals,             Cereal snacks, Food and non-alcoholic beverages"
198,1.1.8.5.1,Edible ices and ice cream,1.1.8.7.1,            Ice cream tub or block,1,Food and non-alcoholic beverages,"Edible ices and ice cream,             Ice cream tub or block, Food and non-alcoholic beverages"
199,1.1.8.5.1,Edible ices and ice cream,1.1.8.7.2,            Ice cream products,1,Food and non-alcoholic beverages,"Edible ices and ice cream,             Ice cream products, Food and non-alcoholic beverages"
200,1.1.8.5.1,Edible ices and ice cream,1.1.8.7.3,"            Other frozen dairy foods & ices eg ice lollies, ice cubes, sorbet, frozen mousse, frozen yoghurt ) ,",1,Food and non-alcoholic beverages,"Edible ices and ice cream,             Other frozen dairy foods & ices eg ice lollies, ice cubes, sorbet, frozen mousse, frozen yoghurt ) ,, Food and non-alcoholic beverages"
201,1.1.7.6.1,Other preserved or processed vegetables,1.1.9.1.1,"            Pickles eg onion, beetroot, cucumber, gherkin",1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Pickles eg onion, beetroot, cucumber, gherkin, Food and non-alcoholic beverages"
202,1.1.9.1.1,"Sauces, condiments",1.1.9.1.2,"            Sauces eg apple sauce, bolognese sauce, Cook-In sauces, mint sauce, tomato ketchup",1,Food and non-alcoholic beverages,"Sauces, condiments,             Sauces eg apple sauce, bolognese sauce, Cook-In sauces, mint sauce, tomato ketchup, Food and non-alcoholic beverages"
203,1.1.9.1.1,"Sauces, condiments",1.1.9.1.3,"            Salad dressings eg salad cream, mayonnaise, dips",1,Food and non-alcoholic beverages,"Sauces, condiments,             Salad dressings eg salad cream, mayonnaise, dips, Food and non-alcoholic beverages"
204,1.1.9.1.1,"Sauces, condiments",1.1.9.1.4,            Vinegar,1,Food and non-alcoholic beverages,"Sauces, condiments,             Vinegar, Food and non-alcoholic beverages"
205,1.1.9.2.1,"Salt, spices and culinary herbs",1.1.9.2.1,            Salt,1,Food and non-alcoholic beverages,"Salt, spices and culinary herbs,             Salt, Food and non-alcoholic beverages"
206,1.1.9.2.1,"Salt, spices and culinary herbs",1.1.9.2.2,"            Spices & dried herbs eg curry powder, mustard, pepper, dried garlic",1,Food and non-alcoholic beverages,"Salt, spices and culinary herbs,             Spices & dried herbs eg curry powder, mustard, pepper, dried garlic, Food and non-alcoholic beverages"
207,1.1.9.2.1,"Salt, spices and culinary herbs",1.1.9.2.3,"            Fresh herbs eg basil, peppers, clove of garlic",1,Food and non-alcoholic beverages,"Salt, spices and culinary herbs,             Fresh herbs eg basil, peppers, clove of garlic, Food and non-alcoholic beverages"
208,1.1.9.3.1,"Baker's yeast, dessert preparations, soups",1.1.9.3.1,            Baby foods,1,Food and non-alcoholic beverages,"Baker's yeast, dessert preparations, soups,             Baby foods, Food and non-alcoholic beverages"
209,1.1.1.5.1,Other breads and cereals,1.1.9.3.2,            Infant cereal foods,1,Food and non-alcoholic beverages,"Other breads and cereals,             Infant cereal foods, Food and non-alcoholic beverages"
210,1.1.9.3.1,"Baker's yeast, dessert preparations, soups",1.1.9.3.3,"            Invalid, slimming & sports foods eg slimming bars, slimming drinks",1,Food and non-alcoholic beverages,"Baker's yeast, dessert preparations, soups,             Invalid, slimming & sports foods eg slimming bars, slimming drinks, Food and non-alcoholic beverages"
211,1.1.7.6.1,Other preserved or processed vegetables,1.1.9.4.1,"            Soya & novel protein foods eg soya mince, Tofu",1,Food and non-alcoholic beverages,"Other preserved or processed vegetables,             Soya & novel protein foods eg soya mince, Tofu, Food and non-alcoholic beverages"
212,1.1.9.3.1,"Baker's yeast, dessert preparations, soups",1.1.9.5.1,            Canned & carton soups,1,Food and non-alcoholic beverages,"Baker's yeast, dessert preparations, soups,             Canned & carton soups, Food and non-alcoholic beverages"
213,1.1.9.3.1,"Baker's yeast, dessert preparations, soups",1.1.9.5.2,            Dehydrated & powdered soup,1,Food and non-alcoholic beverages,"Baker's yeast, dessert preparations, soups,             Dehydrated & powdered soup, Food and non-alcoholic beverages"
214,1.1.9.3.1,"Baker's yeast, dessert preparations, soups",1.1.9.6.1,"            Gravy granules, baking powder, yeast, flavourings, colourings",1,Food and non-alcoholic beverages,"Baker's yeast, dessert preparations, soups,             Gravy granules, baking powder, yeast, flavourings, colourings, Food and non-alcoholic beverages"
215,1.1.9.3.1,"Baker's yeast, dessert preparations, soups",1.1.9.6.2,            Stock cubes (all meat & yeast extracts),1,Food and non-alcoholic beverages,"Baker's yeast, dessert preparations, soups,             Stock cubes (all meat & yeast extracts), Food and non-alcoholic beverages"
216,1.1.9.4.1,Other food products,1.1.9.7.1,            Wine & beer making kits,1,Food and non-alcoholic beverages,"Other food products,             Wine & beer making kits, Food and non-alcoholic beverages"
217,1.1.9.4.1,Other food products,1.1.9.7.2,"            Payment for food, items not specified",1,Food and non-alcoholic beverages,"Other food products,             Payment for food, items not specified, Food and non-alcoholic beverages"
218,1.2.1.1.1,Coffee,1.2.1.1.1,"            Coffee beans, ground coffee",1,Food and non-alcoholic beverages,"Coffee,             Coffee beans, ground coffee, Food and non-alcoholic beverages"
219,1.2.1.1.1,Coffee,1.2.1.1.2,            Instant coffee,1,Food and non-alcoholic beverages,"Coffee,             Instant coffee, Food and non-alcoholic beverages"
220,1.2.1.1.1,Coffee,1.2.1.1.3,            Coffee essences,1,Food and non-alcoholic beverages,"Coffee,             Coffee essences, Food and non-alcoholic beverages"
221,1.2.1.2.1,Tea,1.2.1.2.1,            Tea,1,Food and non-alcoholic beverages,"Tea,             Tea, Food and non-alcoholic beverages"
222,1.2.1.2.1,Tea,1.2.1.2.2,"            Fruit tea, green tea, instant tea granules, herbal tea, rosehip tea",1,Food and non-alcoholic beverages,"Tea,             Fruit tea, green tea, instant tea granules, herbal tea, rosehip tea, Food and non-alcoholic beverages"
223,1.2.1.3.1,Cocoa and powdered chocolate,1.2.1.3.1,            Cocoa & chocolate drink powders/ mixes,1,Food and non-alcoholic beverages,"Cocoa and powdered chocolate,             Cocoa & chocolate drink powders/ mixes, Food and non-alcoholic beverages"
224,1.2.1.3.1,Cocoa and powdered chocolate,1.2.1.3.2,            Malt drinks & chocolate versions of malt drinks,1,Food and non-alcoholic beverages,"Cocoa and powdered chocolate,             Malt drinks & chocolate versions of malt drinks, Food and non-alcoholic beverages"
225,1.2.2.1.1,Mineral or spring waters,1.2.2.1.1,            Mineral or spring water,1,Food and non-alcoholic beverages,"Mineral or spring waters,             Mineral or spring water, Food and non-alcoholic beverages"
226,1.2.2.2.1,Soft drinks,1.2.2.2.1,"            Soft drinks - not conc, NOT low cal (incl fizzy & still)",1,Food and non-alcoholic beverages,"Soft drinks,             Soft drinks - not conc, NOT low cal (incl fizzy & still), Food and non-alcoholic beverages"
227,1.2.2.2.1,Soft drinks,1.2.2.2.2,"            Soft drinks - not conc, LOW CAL (incl fizzy & still)",1,Food and non-alcoholic beverages,"Soft drinks,             Soft drinks - not conc, LOW CAL (incl fizzy & still), Food and non-alcoholic beverages"
228,1.2.2.2.1,Soft drinks,1.2.2.3.1,"            Soft drinks - conc, NOT low cal",1,Food and non-alcoholic beverages,"Soft drinks,             Soft drinks - conc, NOT low cal, Food and non-alcoholic beverages"
229,1.2.2.3.1,Fruit juices,1.2.2.3.2,"            Soft drinks - conc, LOW CAL",1,Food and non-alcoholic beverages,"Fruit juices,             Soft drinks - conc, LOW CAL, Food and non-alcoholic beverages"
230,1.2.2.3.1,Fruit juices,1.2.2.4.1,            Pure fruit juices,1,Food and non-alcoholic beverages,"Fruit juices,             Pure fruit juices, Food and non-alcoholic beverages"
231,1.2.2.3.1,Fruit juices,1.2.2.5.1,"            Vegetable juices eg tomato juice, carrot juice",1,Food and non-alcoholic beverages,"Fruit juices,             Vegetable juices eg tomato juice, carrot juice, Food and non-alcoholic beverages"
232,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.1.1,"            Chicken eg chicken pieces, chicken nuggets, chicken from chip shop ",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Chicken eg chicken pieces, chicken nuggets, chicken from chip shop , Food and non-alcoholic beverages"
233,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.1.2,            Meat pies & pasties,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Meat pies & pasties, Food and non-alcoholic beverages"
234,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.1.3,            Fish eg from fish n chip shop,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Fish eg from fish n chip shop, Food and non-alcoholic beverages"
